"company_names","fuel_types","fuel_usage_count","fuel_usage_percentage"
"acura","petrol","20","74.07"
"acura","hybrid","7","25.93"
"aston martin","petrol","9","81.82"
"aston martin","hybrid","2","18.18"
"audi","petrol","19","90.48"
"audi","electric","2","9.52"
"bentley","petrol","1","100.00"
"bmw","petrol","30","73.17"
"bmw","diesel","10","24.39"
"bmw","hybrid","1","2.44"
"bugatti","petrol","10","100.00"
"cadillac","petrol","17","85.00"
"cadillac","electric","3","15.00"
"chevrolet","petrol","49","85.96"
"chevrolet","electric","4","7.02"
"chevrolet","diesel","4","7.02"
"ferrari","petrol","8","88.89"
"ferrari","plug in hybrid","1","11.11"
"ford","petrol","47","63.51"
"ford","diesel","12","16.22"
"ford","hybrid","10","13.51"
"ford","electric","5","6.76"
"gmc","petrol","48","81.36"
"gmc","electric","8","13.56"
"gmc","diesel","3","5.08"
"honda","petrol","7","77.78"
"honda","hybrid","2","22.22"
"hyundai","petrol","18","56.25"
"hyundai","hybrid","7","21.88"
"hyundai","electric","5","15.63"
"hyundai","hydrogen","1","3.13"
"hyundai","ev","1","3.13"
"jaguar land rover","petrol","44","88.00"
"jaguar land rover","electric","5","10.00"
"jaguar land rover","plug in hybrid","1","2.00"
"jeep","petrol","14","73.68"
"jeep","hybrid","4","21.05"
"jeep","electric","1","5.26"
"kia","petrol","53","69.74"
"kia","hybrid","11","14.47"
"kia","electric","6","7.89"
"kia","plug in hybrid","4","5.26"
"kia","awd","2","2.63"
"lamborghini","petrol","23","95.83"
"lamborghini","hybrid","1","4.17"
"mahindra","diesel","3","75.00"
"mahindra","petrol","1","25.00"
"maruti suzuki","petrol","3","75.00"
"maruti suzuki","diesel","1","25.00"
"mazda","petrol","155","89.60"
"mazda","diesel","11","6.36"
"mazda","hybrid","4","2.31"
"mazda","electric","2","1.16"
"mazda","petrol hybrid","1","0.58"
"mercedes","petrol","20","95.24"
"mercedes","electric","1","4.76"
"mitsubishi","petrol","80","66.67"
"mitsubishi","diesel","30","25.00"
"mitsubishi","electric","4","3.33"
"mitsubishi","diesel hybrid","2","1.67"
"mitsubishi","hybrid","2","1.67"
"mitsubishi","plug in hybrid","2","1.67"
"nissan","petrol","129","81.13"
"nissan","diesel","14","8.81"
"nissan","hybrid","10","6.29"
"nissan","electric","6","3.77"
"peugeot","petrol","30","55.56"
"peugeot","hybrid","12","22.22"
"peugeot","diesel","7","12.96"
"peugeot","electric","5","9.26"
"porsche","petrol","70","72.92"
"porsche","electric","14","14.58"
"porsche","hybrid","7","7.29"
"porsche","hybrid petrol","4","4.17"
"porsche","diesel","1","1.04"
"rolls royce","petrol","30","100.00"
"tata motors","petrol","15","44.12"
"tata motors","diesel","14","41.18"
"tata motors","electric","4","11.76"
"tata motors","cng","1","2.94"
"tesla","electric","10","100.00"
"toyota","petrol","28","43.08"
"toyota","hybrid","19","29.23"
"toyota","diesel","7","10.77"
"toyota","electric","4","6.15"
"toyota","hydrogen","2","3.08"
"toyota","hybrid gas + electric","2","3.08"
"toyota","gas","1","1.54"
"toyota","plug in hybrid","1","1.54"
"toyota","plug in","1","1.54"
"volkswagen","petrol","108","64.29"
"volkswagen","diesel","34","20.24"
"volkswagen","electric","18","10.71"
"volkswagen","hybrid","8","4.76"
"volvo","diesel","12","80.00"
"volvo","petrol","3","20.00"
